,species,decimalLongitude,decimalLatitude
0,Pinus occidentalis,-70.839976,19.014222
1,Pinus occidentalis,-70.542048,19.193632
2,Pinus occidentalis,-70.474764,19.149472
3,Pinus occidentalis,-71.623299,18.02113
4,Pinus occidentalis,-71.122636,19.307833
5,Pinus occidentalis,-70.548317,19.040218
6,Pinus occidentalis,-70.258636,19.466779
7,Pinus occidentalis,-71.454265,18.131735
8,Pinus occidentalis,-71.51602,18.108517
9,Pinus occidentalis,-71.455142,18.100411
10,Pinus occidentalis,-70.832161,19.190931
11,Pinus occidentalis,-70.962227,19.106732
12,Pinus occidentalis,-70.806587,19.066982
13,Pinus occidentalis,-70.860413,19.055515
14,Pinus occidentalis,-70.853142,19.08164
15,Pinus occidentalis,-70.896889,19.032355
16,Pinus occidentalis,-70.839966,19.076091
17,Pinus occidentalis,-70.875829,19.024623
18,Pinus occidentalis,-70.650993,18.611848
19,Pinus occidentalis,-71.136726,19.263167
20,Pinus occidentalis,-71.691596,18.069438
21,Pinus occidentalis,-71.428519,18.150037
22,Pinus occidentalis,-71.684447,18.391906
23,Pinus occidentalis,-70.789638,19.060327
24,Pinus occidentalis,-71.413247,18.030576
25,Pinus occidentalis,-70.626764,19.040043
26,Pinus occidentalis,-70.976688,18.90251
27,Pinus occidentalis,-70.631653,19.142406
28,Pinus occidentalis,-70.54,19.02
29,Pinus occidentalis,-70.6242,18.838903
30,Pinus occidentalis,-70.627247,19.084084
31,Pinus occidentalis,-70.9428,19.152515
32,Pinus occidentalis,-71.538454,18.295171
33,Pinus occidentalis,-71.35317,18.024031
34,Pinus occidentalis,-70.767148,18.815438
35,Pinus occidentalis,-71.013236,19.377863
36,Pinus occidentalis,-71.123967,19.232566
37,Pinus occidentalis,-71.513848,18.71804
38,Pinus occidentalis,-71.482533,18.109497
39,Pinus occidentalis,-71.537153,18.012979
40,Pinus occidentalis,-71.781365,18.023411
41,Pinus occidentalis,-70.98508,19.168338
42,Pinus occidentalis,-70.86525,19.135894
43,Pinus occidentalis,-71.097,19.225998
44,Pinus occidentalis,-71.659667,18.251288
45,Pinus occidentalis,-70.665071,19.185169
46,Pinus occidentalis,-71.745045,18.340672
47,Pinus occidentalis,-70.40115,19.141013
48,Pinus occidentalis,-70.962058,18.810725
49,Pinus occidentalis,-71.11936,18.129806
50,Pinus occidentalis,-70.965684,19.011649
51,Pinus occidentalis,-71.795804,18.389958
52,Pinus occidentalis,-71.55,18.666667
53,Pinus occidentalis,-70.6402,18.7742
56,Pinus occidentalis,-70.5912,18.6942
57,Pinus occidentalis,-70.724028,19.076
58,Pinus occidentalis,-70.87,19.07
59,Pinus occidentalis,-71.07,19.02
60,Pinus occidentalis,-70.585,19.08
61,Pinus occidentalis,-70.716667,18.25
63,Pinus occidentalis,-70.7,18.866667
64,Pinus occidentalis,-71.583333,18.116667
65,Pinus occidentalis,-70.6,18.65
66,Pinus occidentalis,-71.733333,18.266667
67,Pinus occidentalis,-71.583333,18.15
69,Pinus occidentalis,-70.6,18.733333
70,Pinus occidentalis,-71.58,18.12
74,Pinus occidentalis,-71.58333,18.11667
76,Pinus occidentalis,-71.48,19.38
84,Pinus occidentalis,-71.48333,19.38333
85,Pinus occidentalis,-71.0,19.02
86,Pinus occidentalis,-70.53,19.03
87,Pinus occidentalis,-71.57,18.13
89,Pinus occidentalis,-71.56667,18.13333
90,Pinus occidentalis,-70.6,19.08
92,Pinus occidentalis,-70.6,19.08333
93,Pinus occidentalis,-70.746,18.886
94,Pinus occidentalis,-71.58,19.45
95,Pinus occidentalis,-71.58,19.5
96,Pinus occidentalis,-71.6,18.15
97,Pinus occidentalis,-70.63,18.8
99,Pinus occidentalis,-71.52,18.13
100,Pinus occidentalis,-68.8417,18.75
102,Pinus occidentalis,-68.83,18.75
104,Pinus occidentalis,-70.33,18.9
106,Pinus occidentalis,-70.78,18.97
107,Pinus occidentalis,-70.77,18.88
108,Pinus occidentalis,-70.33333,18.75
109,Pinus occidentalis,-70.78333,18.96667
110,Pinus occidentalis,-71.58,18.125
111,Pinus occidentalis,-71.68,19.38
115,Pinus occidentalis,-70.83179,18.987762
116,Pinus occidentalis,-70.83,18.93
117,Pinus occidentalis,-70.741874,18.889666
118,Pinus occidentalis,-70.751427,18.929095
119,Pinus occidentalis,-70.3963,18.9669
129,Pinus occidentalis,-71.166667,19.416667
130,Pinus occidentalis,-69.89,18.479
131,Pinus occidentalis,-70.738773,18.912805
132,Pinus occidentalis,-70.75,18.916667
133,Pinus occidentalis,-70.6,19.083333
135,Pinus occidentalis,-70.7,18.9
136,Pinus occidentalis,-70.69,18.85
